Year,Month,ExportValue
2007,1,14202680574
2007,2,14244579859
2007,3,15809636873
2007,4,12693874632
2007,5,12906448632
2007,6,14701860112
2007,7,15397706600
2007,8,16541851086
2007,9,15293889579
2007,10,16706843974
2007,11,17482159561
2007,12,18631064696
2008,1,19860614433
2008,2,17724778554
2008,3,18017971098
2008,4,15332152788
2008,5,15623958404
2008,6,16595202874
2008,7,22705190696
2008,8,22189018385
2008,9,23330226174
2008,10,20510760207
2008,11,11698412238
2008,12,9439546612
2009,1,9783974534
2009,2,11429515805
2009,3,10416633744
2009,4,7965077509
2009,5,7594038537
2009,6,9240043139
2009,7,10458941515
2009,8,10913754053
2009,9,11537678141
2009,10,13593840312
2009,11,16365857707
2009,12,20705679360
2010,1,21150731198
2010,2,19663947054
2010,3,19562190765
2010,4,13276394730
2010,5,15912149530
2010,6,19488511779
2010,7,18955513611
2010,8,20094082595
2010,9,20276218955
2010,10,20069315424
2010,11,21655971444
2010,12,25448549175
2011,1,30134613623
2011,2,33856539879
2011,3,39485504508
2011,4,25878751448
2011,5,27965913954
2011,6,27239313684
2011,7,30491625691
2011,8,31736186369
2011,9,44434825827
2011,10,32169191154
2011,11,27731679134
2011,12,27217414877
2012,1,25956806926
2012,2,28159344047
2012,3,27517008263
2012,4,21387627988
2012,5,22091317518
2012,6,20367197126
2012,7,22021565233
2012,8,19593979323
2012,9,20027839094
2012,10,20438651157
2012,11,20282178710
2013,12,22284470209
2013,1,24710678841
2013,2,23369691650
2013,3,23738722417
2013,4,18728665980
2013,5,16041470413
2013,6,15346093658
2013,7,17173667265
2013,8,17659522854
2013,9,19321461088
2013,10,22677767694
2013,11,23249519390
2013,12,27214583522
2014,1,23184647039
2014,2,22255079582
2014,3,20403163841
2014,4,15005038028
2014,5,13851022483
2014,6,13261724035
2014,7,13823055627
2014,8,13976276895
2014,9,14110270038
2014,10,14002925644
2014,11,13769538333
2014,12,16084248629
2015,1,13930252248
2015,2,13515997989
2015,3,14751037279
2015,4,11258576666
2015,5,11899449161
2015,6,14255923515
2015,7,17004754712
2015,8,18459960989
2015,9,14593455044
2015,10,14396905124
2015,11,13140201642
2015,12,13170355923
2016,1,11365043321
2016,2,12050636431
2016,3,12728079344
2016,4,13318621462
2016,5,11692952860
2016,6,11664650176
2016,7,11590992526
2016,8,12774745249
2016,9,12467657431
2016,10,13264373095
2016,11,15032267860
2016,12,17734227024
2017,1,18365284552
2017,2,20574123751
2017,3,24427753304
2017,4,18663351560
2017,5,16629855985
2017,6,14344611615
2017,7,13575507572
2017,8,15269752173
2017,9,14664831056
2017,10,15587501852
2017,11,16233860585
2017,12,16432830063
2018,1,13254674947
2018,2,13195636681
2018,3,10903366047
2018,4,14675123565
2018,5,12474437553
2018,6,11972235853
2018,7,12263364651
2018,8,12255989866
2018,9,10986809173
2018,10,12394607363
2018,11,24005175604
2018,12,10898101601
2019,1,11240048336
2019,2,11081756698
2019,3,11530555392
2019,4,10134256259
2019,5,11449512656
2019,6,13291381292
2019,7,12810287602
2019,8,10507127717
2019,9,8690467677
2019,10,8963579176
2019,11,9063879143
2019,12,9708625902
