Month,ExportValue
2007-01,14202680574
2007-02,14244579859
2007-03,15809636873
2007-04,12693874632
2007-05,12906448632
2007-06,14701860112
2007-07,15397706600
2007-08,16541851086
2007-09,15293889579
2007-10,16706843974
2007-11,17482159561
2007-12,18631064696
2008-01,19860614433
2008-02,17724778554
2008-03,18017971098
2008-04,15332152788
2008-05,15623958404
2008-06,16595202874
2008-07,22705190696
2008-08,22189018385
2008-09,23330226174
2008-10,20510760207
2008-11,11698412238
2008-12,9439546612
2009-01,9783974534
2009-02,11429515805
2009-03,10416633744
2009-04,7965077509
2009-05,7594038537
2009-06,9240043139
2009-07,10458941515
2009-08,10913754053
2009-09,11537678141
2009-10,13593840312
2009-11,16365857707
2009-12,20705679360
2010-01,21150731198
2010-02,19663947054
2010-03,19562190765
2010-04,13276394730
2010-05,15912149530
2010-06,19488511779
2010-07,18955513611
2010-08,20094082595
2010-09,20276218955
2010-10,20069315424
2010-11,21655971444
2010-12,25448549175
2011-01,30134613623
2011-02,33856539879
2011-03,39485504508
2011-04,25878751448
2011-05,27965913954
2011-06,27239313684
2011-07,30491625691
2011-08,31736186369
2011-09,44434825827
2011-10,32169191154
2011-11,27731679134
2011-12,27217414877
2012-01,25956806926
2012-02,28159344047
2012-03,27517008263
2012-04,21387627988
2012-05,22091317518
2012-06,20367197126
2012-07,22021565233
2012-08,19593979323
2012-09,20027839094
2012-10,20438651157
2012-11,20282178710
2012-12,22284470209
2013-01,24710678841
2013-02,23369691650
2013-03,23738722417
2013-04,18728665980
2013-05,16041470413
2013-06,15346093658
2013-07,17173667265
2013-08,17659522854
2013-09,19321461088
2013-10,22677767694
2013-11,23249519390
2013-12,27214583522
2014-01,23184647039
2014-02,22255079582
2014-03,20403163841
2014-04,15005038028
2014-05,13851022483
2014-06,13261724035
2014-07,13823055627
2014-08,13976276895
2014-09,14110270038
2014-10,14002925644
2014-11,13769538333
2014-12,16084248629
2015-01,13930252248
2015-02,13515997989
2015-03,14751037279
2015-04,11258576666
2015-05,11899449161
2015-06,14255923515
2015-07,17004754712
2015-08,18459960989
2015-09,14593455044
2015-10,14396905124
2015-11,13140201642
2015-12,13170355923
2016-01,11365043321
2016-02,12050636431
2016-03,12728079344
2016-04,13318621462
2016-05,11692952860
2016-06,11664650176
2016-07,11590992526
2016-08,12774745249
2016-09,12467657431
2016-10,13264373095
2016-11,15032267860
2016-12,17734227024
2017-01,18365284552
2017-02,20574123751
2017-03,24427753304
2017-04,18663351560
2017-05,16629855985
2017-06,14344611615
2017-07,13575507572
2017-08,15269752173
2017-09,14664831056
2017-10,15587501852
2017-11,16233860585
2017-12,16432830063
2018-01,13254674947
2018-02,13195636681
2018-03,10903366047
2018-04,14675123565
2018-05,12474437553
2018-06,11972235853
2018-07,12263364651
2018-08,12255989866
2018-09,10986809173
2018-10,12394607363
2018-11,24005175604
2018-12,10898101601
2019-01,11240048336
2019-02,11081756698
2019-03,11530555392
2019-04,10134256259
2019-05,11449512656
2019-06,13291381292
2019-07,12810287602
2019-08,10507127717
2019-09,8690467677
2019-10,8963579176
2019-11,9063879143
2019-12,9708625902
